,STATION_CD,STATION_NM,STATION_NM_ENG,LINE_NUM,FR_CODE,CYBER_ST_CODE,BRANCH_OFFICE_CODE,BRANCH_OFFICE_NM,REGIDATE,TEL,FAX,POST_CODE,ADDRESS,MINWON,INFOTESK,CULTURE,TICKET,OBSTACLE,MEETPLACE,PARKING,BICYCLE,MUIN,OFFICE,NURSING,ELEVATOR,ESCALATOR,WHEELCHAIR,SPEEDNATE,TOILET,STATION_NM_HAN,URE,XPOINT,YPOINT,XPOINT_WGS,YPOINT_WGS
0,0150,서울,Seoul,1,133,0150,115100,시청영업소,1985-10-18 0:0:0,02-6110-1331,6110 - 1339,04527,서울특별시 중구 세종대로 지하 2,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,서울,,493365.0,1125595.0,37.554648,126.972559
0,1762,오이도,Oido,4,456,1762,410000,철도청구간,,031-319-7788,,15018,경기도 시흥시 역전로 430,,,,,,,,,,,N,,,,,게이트 외부,烏耳島,,441955.0,1072345.0,37.362357,126.738714
0,0312,불광,Bulgwang,3,322,0312,131700,경복궁영업소,1985-7-12 0:0:0,02-6110-3221,6110 - 3229,03397,서울특별시 은평구 통일로 지하 723-1,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,게이트 외부,佛光,,484337.0,1140982.0,37.610469,126.929887
0,0339,수서,Suseo,3,349,0339,133400,도곡영업소,1993-10-30 0:0:0,02-6110-3491,6110 - 3499,06362,서울특별시 강남구 광평로 지하 270,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 내부,水西,,522445.0,1106977.0,37.487371,127.101880
0,1803,역곡,Yeokgok,1,146,1803,410000,철도청구간,,02-2639-3434,,14673,경기도 부천시 원미구 역곡로 1,,,,,,,,,,,N,,,,,게이트 외부,驛谷,조선시대에는 40리마다 역원이 설치되어 있었으며 한양과 제물포사이 40리 지점에도 역원이 있었다. 이곳을 일명 역마골로 불리우다가 시승격과 함께 역곡으로 명명 되었다.,458312.0,1106430.0,37.485178,126.811502
0,0244,용답,Yongdap,2,211-1,0244,121100,성수영업소,1980-10-31 00:00:00,02-6110-1341,6110 - 1349,04761,서울특별시 성동구 용답길 86,N,N,N,N,,,,,,,N,,,,,게이트 외부,龍踏,"○ '용답동'의 동명은 용두동 지역과 답십리동 지역의 일부가 1975년 10월 1일 통합되면서 머리글자를 따서 용답동이 되었으며, 인근에 군자차량기지가 있어 '기지역'으로 명명되었다가 '용답역'으로 개명되었다.",511015.0,1127677.0,37.561904,127.050899
0,1823,도화,Dohwa,1,157,1823,410000,철도청구간,,032-863-1464,,22119,인천광역시 남구 숙골로24번길 9,,,,,,,,,,,N,,,,,게이트 외부,道禾,"인근의 동명에서 유래했으며, 도마다리말(말이 지나는 다리마을)과 화동(벼마을)의 마을을 따서 정해진 이름이다.",426550.0,1101115.0,37.466070,126.668672
0,1005,대방,Daebang,1,137,1005,410000,철도청구간,,02-2639-3331,,07319,서울특별시 영등포구 여의대방로 300,,,,,,,,,,,N,,,,,게이트 내부,大方,"조선시대 높은 절과 번댕이 두마을로 이루어진 곳이었는데, 일제 때 번대방리라 하다가 광복 후 대방으로 개칭됨.",483645.0,1114340.0,37.513342,126.926382
0,0310,구파발,Gupabal,3,320,0310,131700,경복궁영업소,1985-07-12 00:00:00,02-6110-3201,6110 - 3209,03306,서울특별시 은평구 진관2로 지하 15-25,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,舊把撥,○ 역이 있는 동명에서 유래된 것으로 구파발이란 지명은 조선시대 중기부터 공문서를 전달하기 위한 파발역이 있어 이름지어졌다.,481875.0,1148452.0,37.636763,126.918821
0,0204,을지로4가,Euljiro 4(sa)-ga,2,204,0204,120700,상왕십리영업소,1983-9-16 0:0:0,02-6110-2041,6110 - 2049,04548,서울특별시 중구 을지로 지하 178,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,乙支路4街,,499460.0,1129122.0,37.566941,126.998079
0,1903,도봉산,Dobongsan,1,113,1903,410000,철도청구간,,02-955-7345,,01318,서울특별시 도봉구 도봉로 964-33,N,N,N,N,N,N,Y,N,,,N,,,,,게이트 외부,道峰山,,510065.0,1163090.0,37.689313,127.046222
0,0319,종로3가,Jongno 3(sam)-ga,3,329,0153,115100,시청영업소,1985-10-18 0:0:0,02-6110-3291,6110 - 3299,03138,서울특별시 종로구 돈화문로 지하 30,Y,N,N,N,Y,N,N,N,N,Y,N,Y,Y,Y,Y,게이트 내부,鍾路3街,"○ 역이 있는 종로구의 동명과 가로명에서 유래하였다.<br />
○ 종로는 조선왕조 500년 동안 밤에는 인정(人定), 새벽에는 파루를 쳐서 도성 8개문을 여닫게 하는 종루(鐘樓)가 있어 유래된 것이다. 이 거리에는 조선 초부터 시전이 있었던 번화가이어서 일명 운종가로 칭해졌던 서울의 상업 중심가였다.",498060.0,1130332.0,37.571607,126.991806
0,1720,진위,진위,1,P161,1720,,,,031-667-7652,,17706,경기도 평택시 진위면 경기대로 1855,N,N,N,N,N,N,N,N,,,N,,,,,게이트 외부,振威,,513662.0,1002210.0,37.109447,127.062278
0,0428,삼각지,Samgakji,4,428,0428,142800,삼각지서비스센터,1985-10-18 0:0:0,02-6110-4281,6110 - 4289,04375,서울특별시 용산구 한강대로 지하 180,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 내부,三角地,,493970.0,1120167.0,37.534777,126.973110
0,0415,미아,Mia,4,415,0415,141000,상계서비스센터,1985-04-20 00:00:00,02-6110-4151,6110 - 4159,01133,서울특별시 강북구 도봉로 지하 198,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,彌阿,○ '미아'라는 지명은 고려말기부터 부근 야산의 언덕에 있던 마을의 모습을 넓을 미(彌)와 언덕을 뜻하는 아(阿)를 합하여 부르던 것에서 유래되어 역명이 되었다.,505667.0,1145592.0,37.626670,127.025983
0,0337,대청,Daecheong,3,347,0337,133400,도곡서비스센터,1993-10-30 00:00:00,02-6110-3471,6110 - 3479,06337,서울특별시 강남구 일원로 지하 2,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,게이트 내부,대청,"○ 조선시대 이곳 마을에 99칸의 한옥이 있었는데, 옛 잠실 일대에서 이곳을 바라보면 한옥의 대청 큰 마루가 보인다 하여 이곳 지역을 대청마을로 불려지게 되었다.",517440.0,1108825.0,37.493514,127.079532
0,1957,주엽,Juyeop,3,311,1957,410000,철도청구간,,031-916-7799,,10387,경기도 고양시 일산서구 중앙로 지하 1432,,,,,,,,,,,N,,,,,게이트 외부,注葉,"옛 주엽3리의 문촌마을에 있는 골동산(곡동산) 꼭대기에서 볼 때 마을 전체의 지형이 잎사귀모양으로 보여 주엽이라 했다 하며, 가을만 되면 마을 중앙으로 흐르는 샛강에 큰 나무의 잎사귀가 떨어져 흘러내려갔다고 해서 붙여진 이름이다.",447158.0,1157765.0,37.670072,126.761334
0,0228,서울대입구,Seoul Nat'l Univ.,2,228,0228,122700,구로디지털서비스센터,1983-12-17 00:00:00,02-6110-2281,6110 - 2289,08787,서울특별시 관악구 남부순환로 지하 1822,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,게이트 외부,서울大入口,○ 역세권내 서울대학교와 관악구청이 있어 서울대입구(관악구청) 역이라 명명하였다.,489440.0,1105242.0,37.481247,126.952739
0,0234,신도림,Sindorim,2,234,0234,123400,구로디지털서비스센터,1984-5-22 0:0:0,02-6110-2341,6110 - 2349,08288,서울특별시 구로구 새말로 지하 117-21,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,게이트 외부,新道林,,475755.0,1112937.0,37.508725,126.891295
0,1716,병점,Byeongjeom,1,P157,1716,410000,철도청구간,2003-4-30 5:0:0,031-234-7788,,18412,경기도 화성시 떡전골로 97,,,,,,,,,,,N,,,,,게이트 외부,餠店,옛부터 삼남으로 통하는 큰 길목이어서 고려시대부터 행인들이 쉬었다가 가는 길목으로 떡을 파는 떡장수들이 많았다고 한데서 유래,507147.0,1029150.0,37.207503,127.032731
0,0426,서울,Seoul,4,426,0150,115100,시청영업소,1985-10-18 0:0:0,02-6110-4261,6110 - 4269,04323,서울특별시 용산구 한강대로 지하 392,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,게이트 외부,서울,,493365.0,1125595.0,37.554648,126.972559
0,1020,월계,Wolgye,1,118,1020,410000,철도청구간,,02-900-4855,,01867,서울특별시 노원구 월계로53길 40,,,,,,,Y,,,,N,,,,,게이트 내부,月溪,이 지역의 동쪽으로 중랑천이 흐르고 동북쪽에서 서쪽으로 북한산의 지맥이 이어진데다가 지형이 반달처럼 생겨 월계라는 지명이 생성되었음.,512815.0,1147432.0,37.633212,127.058831
0,1016,외대앞,Hankuk Univ. of Foreign Studies,1,122,1016,410000,철도청구간,,02-966-6705,,02420,서울특별시 동대문구 휘경로 27,,,,,,,,,,,N,,,,,게이트 내부,外大앞,인근에 한국외국어대학교가 있어 유래됨.,513900.0,1137147.0,37.596073,127.063549
0,0409,당고개,Danggogae,4,409,0409,141000,길음서비스센터,1993-04-21 00:00:00,02-6110-4091,6110 - 4099,01634,서울특별시 노원구 상계로 305,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,당고개,○ 당고개(덕능고개)는 옛날 이 고개에 미륵당과 성황당이 있어 유래된 지명으로 산짐승이 많아 나그네들이 고개를 넘을 때에 돌을 들고 넘었다고 한다. 지하철이 개통되면서 이곳 지명을 따라 역의 이름이 되었다.,517267.0,1157807.0,37.670272,127.079066
0,1453,과천,Gwacheon,4,438,1453,410000,철도청구간,,02-3679-8831,,13836,경기도 과천시 별양로 지하 177,,,,,,,,,,,N,,,,,게이트 외부,政府,"과천은 과일과 시내, 구름, 산, 암자등이 잘 어우러져 쾌적하고 안락한 삶의 터전이라는 뜻에서 유래되었음.",499077.0,1091800.0,37.433021,126.996568
0,0214,강변,Gangbyeon,2,214,0214,121800,종합운동장영업소,1980-10-31 00:00:00,02-6110-2141,6110 - 2149,05116,서울특별시 광진구 강변역로 53,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,게이트 외부,江邊,○ 강변역은 한강변에 위치한다하여 강변역으로 명명하게 되었다.,520755.0,1120262.0,37.535095,127.094681
0,1910,덕계,Deokgye,1,106,1910,410000,철도청구간,,031-866-6792,,11444,경기도 양주시 고덕로139번길 317,N,N,N,N,N,N,N,N,,,N,,,,,게이트 외부,德溪,,512355.0,1198910.0,37.818486,127.056486
0,1955,마두,Madu,3,313,1955,410000,철도청구간,,031-904-7788,,10414,경기도 고양시 일산동구 중앙로 지하 1180,,,,,,,,,,,N,,,,,게이트 외부,馬頭,이곳의 주산인 정발산의 생김 모양이 말머리와 같다고 하여 붙여진 명칭이다.,450765.0,1152723.0,37.652206,126.777620
0,0331,남부터미널,Nambu Bus Terminal,3,341,0331,133400,도곡영업소,1985-10-18 00:00:00,02-6110-3411,6110 - 3419,06718,서울특별시 서초구 서초중앙로 지하 31,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,게이트 내부,南部터미널,○ 서초동에 위치한 화물터미널로 인해 화물터미널역이었으나 화물터미널이 이전하고 남부시외버스 터미널이 들어와 남부터미널역으로 개명하였다.,503497.0,1106375.0,37.485013,127.016189
0,0327,신사,Sinsa,3,337,0327,132500,도곡 서비스센타,1985-10-18 00:00:00,02-6110-3371,6110 - 3379,06038,서울특별시 강남구 도산대로 지하 102,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,新沙,○ 신사동은 1914년 신촌(新村)과 사평리(沙平里) 두 마을을 합칠 때 각각 첫 글자를 따서 지은 이름이다.,504302.0,1115065.0,37.516334,127.020114
0,0418,성신여대입구,Sungshin Women's Univ.,4,418,0418,141700,상계서비스센터,1985-04-20 00:00:00,02-6110-4181,6110 - 4189,02845,서울특별시 성북구 동소문로 지하 102,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 외부,誠信女大入口,,503476.0,1136257.0,37.592624,127.016403
0,1749,서동탄,Seodongtal,1,P157-1,1749,410000,철도청구간,2010-2-25 15:18:53,031-613-9581,,18111,경기도 오산시 외삼미로15번길 75-60,,,,,,,,,,,N,,,,,게이트 외부,西東灘,,511347.0,1026050.0,37.195504,127.051672
0,1760,신길온천,Singil oncheon,4,454,1760,410000,철도청구간,,031-491-7787,,15398,경기도 안산시 단원구 황고개로 2,,,,,,,,,,,N,,,,,게이트 외부,新吉溫泉,,448260.0,1065560.0,37.338212,126.765844
0,1911,덕정,Deokjeong,1,105,1911,410000,철도청구간,,031-858-2788,,11450,경기도 양주시 화합로 1356,N,N,N,N,N,N,N,N,,,N,,,,,게이트 외부,德亭,,513355.0,1205710.0,37.843188,127.061277
0,0218,종합운동장,Sports Complex,2,218,0218,121800,종합운동장영업소,1980-10-31 00:00:00,02-6110-2181,6110 - 2189,05571,서울특별시 송파구 올림픽로 지하 23,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,Y,게이트 외부,綜合運動場,,516222.0,1113652.0,37.510997,127.073642
0,0203,을지로3가,Euljiro 3(sam)-ga,2,203,0203,120700,상왕십리영업소,1983-9-16 0:0:0,02-6110-2031,6110 - 2039,04550,서울특별시 중구 을지로 지하 106,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,乙支路3街,,497895.0,1128945.0,37.566295,126.991910
0,1812,인천,Incheon,1,161,1812,410000,철도청구간,,032-772-0784,,22307,인천광역시 중구 제물량로 269,,,,,,,,,,,N,,,,,게이트 외부,仁川,,415080.0,1103977.0,37.476691,126.616936
0,0336,학여울,Hangnyeoul,3,346,0336,133400,도곡영업소,1993-10-30 00:00:00,02-6110-3461,6110 - 3469,06287,서울특별시 강남구 남부순환로 지하 3104,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 외부,鶴여울,"○ 탄천과 양재천이 만나는 지점인 한강 갈대밭 부근의 옛지명을 학여울이라 불렀으며, 이곳에 역이 생겨 학여울역이라 명명되었다.",515537.0,1109537.0,37.496663,127.070594
0,0309,지축,Jichuk,3,319,0309,131700,경복궁영업소,1990-07-13 00:00:00,02-6110-3191,6110 - 3199,10586,경기도 고양시 덕양구 삼송로 300,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,게이트 내부,紙丑,○ 역이 있는 동명에서 유래된 것으로 조선시대에 종이를 만들던 마을인 지정리와 싸리나무가 많이 자생하던 마을인 축리로 되어 있다가 해방 후 고양군으로 편입되면서 지정리의 '지'와 축리의 '축'을 합쳐 지축리로 되었다.,480805.0,1151557.0,37.648048,126.913951
0,1722,서정리,Seojeong-ri,1,P163,1722,,,2005-1-27 15:13:38,031-662-7788,,17783,경기도 평택시 탄현로 51,,,,,,,,,,,N,,,,,게이트 외부,西井里,이 일대에 서둔물이라는 좋은 우물 3개가 있어 명명되어진 데서 유래,511607.0,987472.0,37.056496,127.052819
0,0201,시청,City Hall,2,201,0151,115100,시청영업소,,02-6110-2011,6110 - 2019,04515,서울특별시 중구 서소문로 지하 127,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,"게이트 내부,외부",市廳,,494587.0,1128532.0,37.564718,126.977108
0,1003,용산,Yongsan,1,135,1003,410000,철도청구간,,02-3780-5417,,04377,서울특별시 용산구 한강대로23길 55,,,,,,,,,,,N,,,,,게이트 외부,龍山,,491977.0,1118732.0,37.529849,126.964561
0,1407,온양온천,Onyang oncheon,1,P176,1407,,,,041-541-0865,,31514,충청남도 아산시 온천대로 1496,,,,,,,,,,,N,,,,,게이트 외부,溫陽溫泉,,500535.0,910912.0,36.780483,127.003249
0,1817,도원,Dowon,1,159,1817,410000,철도청구간,,032-773-7788,,22565,인천광역시 동구 참외전로 245,N,N,N,N,N,N,N,N,Y,,N,,,,,게이트 내부,桃源,옛날에 이곳에 복숭아밭이 많이 있었다고 한데서 유래됨.,420742.0,1101893.0,37.468446,126.642706
0,1718,오산대,osandae,1,P159,1718,,,2006-1-26 9:52:35,031-375-9354,,18115,경기도 오산시 청학로 236,N,N,N,N,N,N,N,N,,,N,,,,,게이트 외부,烏山大,,513750.0,1018710.0,37.168953,127.063197
0,0233,대림,Daerim,2,233,0233,122700,낙성대영업소,1984-5-22 0:0:0,02-6110-2331,6110 - 2339,08304,서울특별시 구로구 도림천로 351,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,大林,,476705.0,1108675.0,37.492970,126.895801
0,1706,안양,Anyang,1,P147,1706,410000,철도청구간,,031-448-7788,,13992,경기도 안양시 만안구 만안로 232,,,,,,,,,,,N,,,,,게이트 외부,安養,인근에 안양사 라는 사찰이 있었다는데서 유래되었다.,482735.0,1083190.0,37.401592,126.922874
0,0429,신용산,Sinyongsan,4,429,0429,142800,삼각지서비스센터,1985-10-18 00:00:00,02-6110-4291,6110 - 4299,04386,서울특별시 용산구 한강대로 지하 112,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,게이트 외부,新龍山,○ 역이 있는 지명에서 유래된 것으로 용산은 백제시대 한강에서 두 마리 용이 나타나 유래되었다는 설과 산줄기가 마치 용처럼 구불구불 뻗어 있어 불렸다는 설이 있다.,492830.0,1118597.0,37.529170,126.967894
0,1814,소사,Sosa,1,147,1814,410000,철도청구간,,02-2639-3242,,14690,경기도 부천시 소사구 소사로 272,,,,,,,,,,,N,,,,,게이트 외부,素砂,,454610.0,1105667.0,37.482753,126.795440
0,0216,잠실,Jamsil,2,216,0216,121800,종합운동장영업소,1980-10-31 0:0:0,02-6110-2161,6110 - 2169,05510,서울특별시 송파구 올림픽로 지하 265,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,게이트 외부,蠶室,,522390.0,1114282.0,37.513950,127.102234
0,1758,초지,Choji,4,452,1758,410000,철도청구간,,031-480-2788,,15432,경기도 안산시 단원구 중앙대로 620,,,,,,,,,,,N,,,,,게이트 내부,草芝,"공단역 : 안산시 서부지역 공업단지(반월공단, 시화공단)와 근접하고 있어 역명부여<br>
2012년 6월 30일 수인선 개통시에 초지역으로 역명변경",456877.0,1060755.0,37.320646,126.805913
0,0326,압구정,Apgujeong,3,336,0326,132500,도곡서비스센터,1985-10-18 00:00:00,02-6110-3361,6110 - 3369,06022,서울특별시 강남구 압구정로 지하 172,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,狎鷗亭,○ 압구정은 조선시대 권신 한명회가 세상일을 잊기 위해 한강의 갈매기를 벗 삼아 지냈다는 정자 이름에서 유래되었다.,506121.0,1117883.0,37.527072,127.028461
0,1455,인덕원,Indeogwon,4,440,1455,410000,철도청구간,,031-422-7788,,13951,경기도 안양시 동안구 흥안대로 지하 529,,,,,,,,,,,N,,,,,게이트 외부,仁德院,"이 마을은 조선시대 내시들이 살던 곳으로, 비록 거세된 몸이지만 높은 관직을 역임하기도 하였다. 그래서 남에게 덕화(德化)를 베푸는 사는 곳이란 의미로 인덕(仁德)이라 칭했다가 공용여행자들의 숙식을 제공하기 위해 원(院)을 설치하면서부터 인덕원이라 부르고 있다.",494677.0,1083140.0,37.401553,126.976715
0,0431,동작,Dongjak,4,431,0431,142800,삼각지영업소,1985-10-18 00:00:00,02-6110-4311,6110 - 4319,06905,서울특별시 동작구 현충로 257,N,N,N,N,N,Y,Y,Y,,,N,,,,,게이트 내부,銅雀,,495157.0,1111287.0,37.502971,126.979306
0,0230,신림,Sillim,2,230,0230,122700,구로디지탈서비스센터,1984-05-22 00:00:00,02-6110-2301,6110 - 2309,08777,서울특별시 관악구 남부순환로 지하 1614,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,게이트 내부,新林,"○ 역이 위치한 신림동은 본래 서원리, 신림리, 난곡리로 나뉘어 있다가 1911년 신림리로 통합된 후, 1963년 서울시로 편입되면서 신림동이 되었고 이후 역명으로 지어졌다.",484275.0,1105992.0,37.484201,126.929715
0,1801,개봉,Gaebong,1,143,1801,410000,철도청구간,,02-2639-3297,,08276,서울특별시 구로구 경인로40길 47,N,N,N,N,N,N,N,N,Y,,N,,,,,게이트 외부,開峯,현재 경인선과 남부순환로가 교차하는 남쪽에 있는 개웅산의 (개)자와 양천구 신정동과 경계를 이루는 매봉산의 (봉)자를 합하여 이름 붙이게 되었음.,468537.0,1109170.0,37.494594,126.858680
0,0239,홍대입구,Hongik Univ.,2,239,0239,124300,동대문서비스센터,1984-05-22 00:00:00,02-6110-2391,6110 - 2399,04050,서울특별시 마포구 양화로 지하 160,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,弘大入口,,483315.0,1126247.0,37.557192,126.925381
0,1805,송내,Songnae,1,150,1805,410000,철도청구간,,032-662-7788,,14742,경기도 부천시 소사구 송내대로 43,,,,,,,,,,,N,,,,,게이트 외부,松內,"솔안말로, 언덕산과 이 마을 초입에 해묵은 소나무가 마을을 둘러싸고 있어 글자 그대로 소나무로 둘러쌓인 안동네였다. 여기에서 연유한 것으로, 소나무(松), 안은(內). 말은 마을의 준말로(洞). 이렇게 해서 송내동이 된 것이며, 지역명을 따라 송내역이라 하였음.",445200.0,1107120.0,37.487600,126.753664
0,1915,동두천,Dongducheon,1,101,1915,410000,철도청구간,,031-862-7788,,11307,경기도 동두천시 평화로 2687,N,N,N,N,N,N,N,N,,,N,,,,,게이트 외부,東豆川,,511905.0,1229110.0,37.927878,127.054790
0,1452,대공원,Seoul Grand Park,4,437,1452,410000,철도청구간,,02-502-5491,,13829,경기도 과천시 대공원대로 지하 50,,,,,,,,,,,N,,,,,게이트 외부,大公園,"1909년 서울 창경궁에 국가말살 정책상 만들어진 동물원을 민족의 자존심을 회복하기 위하여 1984년 이곳에 ""서울대공원""을 건립하였으며 관람객의 편의를 위하여 서울대공원 내에 1994.4.1 과천선 개통시 대공원역으로 영업개시",501287.0,1092762.0,37.435675,127.006523
0,1727,두정,Dujeong,1,P168,1727,410000,철도청구간,2005-1-27 15:17:52,041-562-7791,,31111,충청남도 천안시 서북구 두정로 289,,,,,,,,,,,N,,,,,게이트 외부,斗井,천안군의 북이면에 속하였고 마을 앞에 큰 우물이 있어 물이 말로 쏟아져 나온다고 말우물 또는 두정이라고 한데서 유래,533047.0,925610.0,36.833705,127.148960
